pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,168879,2948328.02,297896.74,0.101
Williamsburg,39406,618604.2,64068.66,0.1036
West Village,211741,2749258.93,285060.63,0.1037
Ridgewood,353,5209.05,454.59,0.0873
Jackson Heights,5394,101312.57,7525.32,0.0743
Williams Bridge,52,1406.85,146.92,0.1044
Cobble Hill,5486,100584.01,11601.78,0.1153
Inwood,497,8723.14,783.63,0.0898
Queens Village,63,1264.51,55.7,0.044
Auburndale,18,359.45,26.79,0.0745
Gramercy,647625,7788369.82,791648.83,0.1016
Chelsea,553542,6849959.42,703743.34,0.1027
University Heights,89,1438.65,96.82,0.0673
Greenwood,1023,19427.88,2110.38,0.1086
Woodhaven-Richmond Hill,311,6332.02,555.44,0.0877
Park Slope,10839,170202.51,17653.23,0.1037
Chinatown,27888,399788.25,33879.1,0.0847
Corona,342,14305.27,1699.48,0.1188
South Bronx,461,6485.99,298.08,0.046
Sunny Side,25155,438756.57,37292.37,0.085
Soho,181172,2391682.05,245445.33,0.1026
Clearview,9,408.98,51.82,0.1267
Dyker Heights,87,1433.51,111.35,0.0777
Upper West Side,697296,8508178.83,784264.81,0.0922
Harlem,35337,477614.59,40761.52,0.0853
Bay Ridge,381,7227.42,668.2,0.0925
Wakefield-Williamsbridge,35,665.84,18.18,0.0273
Jamaica,1742,92699.06,8644.44,0.0933
Bedford Park,113,1993.32,118.56,0.0595
East Village,290044,3744449.81,381750.83,0.102
Hunts Point,65,846.98,51.15,0.0604
Gravesend-Sheepshead Bay,286,5273.12,416.89,0.0791
Lower East Side,186134,2611414.97,262834.4,0.1006
Mapleton-Flatlands,833,12909.54,1096.82,0.085
Baychester,10,202.33,13.12,0.0648
Upper East Side,1151753,13834155.39,1245427.55,0.09
Union Port,117,1890.6,109.61,0.058
Central Park,113908,1386605.91,122307.64,0.0882
Woodside,5446,88208.78,5968.5,0.0677
Greenwich Village,373234,4608089.43,463293.67,0.1005
Forest Hills,2372,51409.8,4218.36,0.0821
Middle Village,166,2801.82,203.22,0.0725
Downtown,18257,300619.94,29152.11,0.097
Morris Heights,133,2002.09,161.6,0.0807
Steinway,29,333.12,30.29,0.0909
Utopia,553,17279.1,1378.66,0.0798
Boerum Hill,11490,175515.04,17288.13,0.0985
Fort Green,24045,374582.21,37231.71,0.0994
Brownsville,117,3598.93,322.35,0.0896
Bushwick,2887,42397.45,4367.23,0.103
Clinton,259641,3291304.11,301585.87,0.0916
City Island,2,87.5,14.0,0.16
Borough Park,883,17887.88,1600.48,0.0895
Parkchester,234,3324.72,244.24,0.0735
Astoria-Long Island City,32937,499777.59,40042.14,0.0801
Garment District,432308,5365826.81,458929.13,0.0855
Morningside Heights,49846,700620.13,68024.34,0.0971
Flushing,1290,29184.14,2515.64,0.0862
East Harlem,22198,285752.7,20307.79,0.0711
Mott Haven,1595,22706.92,1086.91,0.0479
Washington Heights,8973,167484.66,15436.91,0.0922
Carroll Gardens,13948,251873.16,27726.67,0.1101
Flatbush,11,139.38,12.38,0.0888
Laurelton,72,1485.41,139.93,0.0942
Canarsie,155,2516.76,262.8,0.1044
Tribeca,150626,2160353.95,227541.86,0.1053
The Rockaways,8,299.31,16.6,0.0555
High Bridge,455,6777.14,367.58,0.0542
Midtown,1305726,16465560.57,1538036.23,0.0934
Saintalbans,18,420.66,31.5,0.0749
Queensboro Hill,78,1334.7,88.05,0.066
Tremont,120,1909.27,109.62,0.0574
Bensonhurst,123,2918.34,138.9,0.0476
Carnegie Hill,109458,1320412.09,116148.54,0.088
Douglastown-Little Neck,95,1229.81,105.5,0.0858
Murray Hill,264545,3209816.58,312159.6,0.0973
East Brooklyn,230,5241.66,436.47,0.0833
Nkew Gardens,790,18632.91,1510.52,0.0811
Springfield Gardens,180,8444.36,729.25,0.0864
Woodlawn-Nordwood,26,1013.11,20.95,0.0207
Hamilton Heights,13493,208164.53,17883.55,0.0859
Bedford-Stuyvesant,4664,72738.52,7133.85,0.0981
Morris Park,47,979.28,59.12,0.0604
Sunset Park,399,7576.72,608.16,0.0803
Country Club,29,555.03,32.7,0.0589
Maspeth,678,21371.78,1948.21,0.0912
Throggs Neck,44,706.86,82.72,0.117
North Sutton Area,95228,1163871.71,104773.24,0.09
Soundview,138,2112.65,137.34,0.065
Glendale,64,1146.8,81.82,0.0713
Little Italy,78172,1027090.53,105633.49,0.1028
Riverdale,113,2441.11,172.31,0.0706
Fordham,100,1475.51,74.19,0.0503
Yorkville,61144,789616.07,66373.79,0.0841
Kings Bridge,133,2734.38,196.16,0.0717
Spuyten Duyvil,62,1656.76,168.36,0.1016
Battery Park,69234,1160365.23,124829.46,0.1076
